id,priority,status,area,title,evidence,implementation_hint,acceptance_criteria
AHREFS-P0-01,P0,deployed-pending-recrawl,Base2026 analytics links,Fix analytics root-relative Base2026 404 links,"42 links to 39 unique 4xx targets; most non-author samples are emitted by /knowledge/analytics.html","Update analytics link generation to use /knowledge/ paths or correct relative paths for topics, sources, creators, and query routes","No root /topics/ or root /index.html?source= links from analytics; Ahrefs 4xx samples from analytics clear"
AHREFS-P0-02,P0,deployed-pending-recrawl,WordPress author URL,Fix /author/ 404 links,"/author/ is the top 4xx target with 4 source pages","Disable bad author archive links or redirect /author/ to /about/","/author/ no longer appears as a 404 target"
AHREFS-P0-03,P0,deployed-pending-recrawl,Contact URL contract,Eliminate mass /contact/ redirect links,"5,765 links point to redirect target /contact/","Choose canonical contact URL and update WordPress plus Base2026 navigation/footer/form links","Links-to-redirect count for /contact/ is zero or explicitly justified"
AHREFS-P1-04,P1,backlog,Source-page discoverability,Add crawlable source archive or incoming-link graph,"533 orphan pages total; 530 are knowledge/sources","Create paginated /knowledge/sources/ archive and/or static creator/topic source lists","Every public source page has at least one crawlable internal incoming link"
AHREFS-P1-05,P1,backlog,Query-state duplicates,Clean duplicate query-state URL crawl paths,"Largest duplicate content group has 2,664 URLs; /knowledge/ is an indexable duplicate sample","Keep app query URLs for users but canonical/noindex or replace crawlable internal links with static URLs","Indexable duplicate cluster is removed or deliberately canonicalized"
AHREFS-P1-06,P1,live-smoke-passed-pending-recrawl,Social metadata,Add shared OG and X/Twitter card templates,"1,304 incomplete Open Graph pages; 1,314 missing X/Twitter cards; 10 OG missing","Generate complete social metadata for source, topic, creator, compare, API, and info pages","Indexable pages include complete OG and Twitter fields"
AHREFS-P1-07,P1,backlog,Structured data,Fix rich-result validation errors,"1,219 structured-data rich result validation errors","Validate JSON-LD templates and remove invalid rich-result markup when data is insufficient","Rich-result errors are zero or documented as intentionally non-rich schema"
AHREFS-P1-08,P1,live-smoke-passed-pending-recrawl,Sitemap,Remove non-canonical sitemap URL,"Ahrefs reports 1 non-canonical page in sitemap","Find exact URL and update sitemap generation to include only canonical indexable URLs","Sitemap contains only canonical indexable URLs"
AHREFS-P2-09,P2,backlog,Metadata tuning,Normalize title meta and H1 templates,"310 long titles; 138 long meta descriptions; 38 short meta descriptions; 1 missing meta; 1 missing H1","Tune generated and WordPress title/meta/H1 templates after URL contracts are stable","Indexable title/meta/H1 warnings are cleared or reduced to justified edge cases"
AHREFS-P2-10,P2,backlog,Noindex link policy,Reduce links to noindex pages,"4,474 links to noindex targets, mostly topics and compare","Decide which topic/compare pages are indexable vs utility-only and update links/canonicals","No high-value public page is both heavily linked and noindex without a documented reason"
AHREFS-P2-11,P2,backlog,Crawl budget,Reduce internal uncrawled URL pressure,"1,174 internal URLs not crawled due monthly Ahrefs crawl limit","Reduce duplicate/query crawl paths, then rerun Ahrefs with enough crawl credits","Follow-up crawl completes without internal limit exhaustion"
AHREFS-P2-12,P2,backlog,Images,Optimize oversized Alex cutout asset,"alex-yarosh-cutout-v115.png is about 1.8 MB","Generate responsive WebP/AVIF or compressed PNG variants and update theme references","Ahrefs image-size warning clears and visual QA still passes"
AHREFS-P2-13,P2,backlog,CSS,Investigate oversized CSS warnings,"Ahrefs reports 4 CSS file size warnings","Audit loaded CSS, minify or split only where it is safe","CSS warnings clear or are accepted with compression evidence"
AHREFS-P3-14,P3,backlog,Indexing,Submit IndexNow and GSC only after fixes,"Ahrefs lists 1,314 pages to submit to IndexNow","Wait until P0 and core P1 fixes are deployed and verified","IndexNow/GSC submission list contains stable canonical URLs only"
